data_year,criminal_act_id,offense_id
2024,6,227584270
2024,6,227584271
2024,2,230367784
2024,6,227584433
2024,9,227584385
2024,6,230367558
2024,6,230367560
2024,9,230367765
2024,9,230367510
2024,6,230367603
2024,6,230367604
2024,6,230367608
2024,6,230367611
2024,6,230367682
2024,6,230367683
2024,9,230367717
2024,9,230367712
2024,9,230367713
2024,9,233158212
2024,6,233158214
2024,6,233158215
2024,9,240528336
2024,4,233158270
2024,6,233158349
2024,9,233158348
2024,6,233158407
2024,6,233158440
2024,6,233158442
2024,2,233158188
2024,9,233158448
2024,6,233158146
2024,6,233158359
2024,6,233158657
2024,9,233158606
2024,6,233158639
2024,6,236651431
2024,2,233158532
2024,6,236651465
2024,6,236651466
2024,6,236651484
2024,9,236651534
2024,6,236651493
2024,9,236651607
2024,6,236651661
2024,6,236651673
2024,6,236651620
2024,6,236651689
2024,6,236651690
2024,9,236714785
2024,9,236714787
2024,6,236651658
2024,6,236714736
2024,6,236714737
2024,6,236714731
2024,6,240528578
2024,6,240528579
2024,6,245157412
2024,6,236714657
2024,3,236714814
2024,3,236714815
2024,6,236714878
2024,6,236714880
2024,6,236714881
2024,6,236714882
2024,8,240528649
2024,4,240528709
2024,6,240528745
2024,1,245157515
2024,6,240528674
2024,2,240529020
2024,8,246074879
2024,9,240528804
2024,9,240529015
2024,6,240528992
2024,6,240528862
2024,3,240528830
2024,6,240528936
2024,6,240528937
2024,6,240528787
2024,6,240528836
2024,6,240528837
2024,14,240528930
2024,6,240529067
2024,6,240529186
2024,6,240529019
2024,6,240529297
2024,6,240529298
2024,6,240529111
2024,6,243606864
2024,6,243606581
2024,6,243606582
2024,6,243606758
2024,6,243606642
2024,6,243606682
2024,6,245157635
2024,1,246074916
2024,8,246908454
2024,6,225742422
2024,6,225742547
2024,6,225742500
2024,6,225742525
2024,3,225742634
2024,6,225742561
2024,6,225742639
2024,3,225742589
2024,6,225742693
2024,8,233155558
2024,8,225742825
2024,6,225742808
2024,8,225742704
2024,6,225742839
2024,6,225744218
2024,6,225742953
2024,2,225743139
2024,8,225743073
2024,6,225743229
2024,5,225743282
2024,3,225743210
2024,6,225743539
2024,6,225743465
2024,8,225743489
2024,3,225743691
2024,3,225743570
2024,6,225743652
2024,8,225743626
2024,8,225743702
2024,6,225743730
2024,8,225743678
2024,3,225743725
2024,8,225743752
2024,6,233155624
2024,6,233155678
2024,3,233155594
2024,1,233155723
2024,8,233155708
2024,6,233155941
2024,3,233155707
2024,8,233155765
2024,3,233155821
2024,6,233155826
2024,6,233155816
2024,6,233155940
2024,6,233156725
2024,6,233156109
2024,8,233155975
2024,6,233156028
2024,6,233156928
2024,8,233156133
2024,6,233156134
2024,6,233156238
2024,6,233156304
2024,6,233156329
2024,6,233156386
2024,6,233156434
2024,3,233156303
2024,6,233156414
2024,6,233156510
2024,3,233156280
2024,6,233156430
2024,3,233156467
2024,6,233156555
2024,8,233156357
2024,1,233156546
2024,8,233156421
2024,3,233156613
2024,6,233156513
2024,6,233156587
2024,6,233156643
2024,8,233156559
2024,6,233157224
2024,8,233156452
2024,5,233156865
2024,6,233156524
2024,8,240523079
2024,8,240523101
2024,6,240523207
2024,6,240523296
2024,6,240523107
2024,6,240523168
2024,6,240523202
2024,6,240523167
2024,6,240523230
2024,2,240523267
2024,6,240523277
2024,6,240523211
2024,6,240523337
2024,6,240523271
2024,6,240523331
2024,6,240523464
2024,6,240523421
2024,6,240523494
2024,2,240523537
2024,8,240523408
2024,8,240523486
2024,6,240523608
